"","SRR3396381","SRR3396382","SRR3396384","SRR3396385","SRR3396386","SRR3396387"
"YIL056W",1386.5327063974,1410.65798626995,1313.14528441295,609.916720518408,634.197497622176,687.489245755978
"YIL161W",218.504741684739,217.955740367889,222.341531514204,212.500297936062,239.646468210679,197.677502674878
"tS(UGA)I",53.7681825088101,66.5975873346326,61.7615365317232,34.7356256241639,19.135269324807,18.5018352257275
"YIL119C",971.259296808081,796.143884954926,841.857251801643,621.154717043873,645.131937236352,705.017300180352
"YIL016W",574.289949349419,584.242470708368,626.166962683163,559.856554177701,605.038991984375,651.459356105878
"YIL144W",601.746042545407,591.305851183253,561.55489369613,517.96947621915,536.698744395779,577.452015202968
"YIL026C",572.001941583087,610.477883900799,593.860928189646,593.570543754095,675.201646175334,660.223383318064
"tD(GUC)I1",0,1.00905435355504,0.950177485103434,2.04327209553905,0.911203301181288,0.973780801354077
"YIL163C",59.488201924641,72.6519134559628,68.4127789274472,41.8870779585506,57.4058079744211,48.6890400677039
"YIL139C",351.209192132015,362.250512926259,382.921526496684,335.096623668405,343.523644545346,321.347664446845
"YIL171W",22.8800776633235,22.1991957782109,19.0035497020687,14.3029046687734,10.9344396141755,17.5280544243734
"YIL068C",584.585984297914,516.63582902018,578.658088427991,534.315652983463,568.590859937124,583.294700011092
"YIL065C",441.585498902143,579.197198940593,469.387677641096,511.839659932533,388.172606303229,425.542210191732
"YIL098C",302.01702515587,357.205241158484,356.316556913788,347.356256241639,311.631529004,346.665965282051
"YIL141W",6.86402329899704,8.07243482844032,9.50177485103434,7.15145233438669,12.756846216538,7.79024641083262
"YIL009W",577.721960998917,591.305851183253,577.707910942888,684.496152005583,715.294591427311,590.111165620571
"YIR021W-A",2.28800776633235,4.03621741422016,3.80070994041374,6.12981628661716,2.73360990354386,2.92134240406223
"YIR020C-B",0,0,0,0,0,0
"YIL044C",680.682310483873,629.649916618345,677.476546878748,724.339957868595,760.854756486375,773.181956275137
"YIR020W-A",0,0,0,0,0,0
"YIR004W",901.475059934945,913.194189967311,988.184584507571,918.450806944805,897.535251663569,928.98688449179
