"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDL213C",712.203082284808,-0.497017810534001,0.138497114534566,-3.58865101416935,0.000332393434884003,0.00191533877384103
"YDR096W",673.797864320872,0.313551840984608,0.137642304225699,2.27801941233461,0.0227254210348996,0.0665740391756194
"YDL019C",1278.60356319695,0.431316065369253,0.0899298468068635,4.79613922055891,1.61752880890226e-06,1.63845206712687e-05
"YDL022W",5658.09246334019,0.0206153136988563,0.09760783511124,0.211205521312524,0.832726902549603,0.906002123400958
"YDR413C",1.02362522923759,-2.16011336727201,2.02551587012937,-1.0664509713933,0.286219830688437,NA
"YDR391C",706.990100697864,0.481410557285229,0.1173141745285,4.1036009435354,4.06768850503008e-05,0.000296289555504505
"YDR091C",1241.83681814229,-0.450384820964305,0.112368549934658,-4.00810387983296,6.12081979531359e-05,0.000429230393912461
"YDR240C",267.409610252349,-0.111675755680274,0.126041895055089,-0.88602091892909,0.375606254821062,0.550300552757747
"YDL244W",25.7455528328734,-0.954302588465602,0.398037296116657,-2.39752052829219,0.0165064560237906,0.0514395068333229
"YDR179C",195.273271060428,-0.685883310289353,0.263501502906187,-2.60295786826515,0.00924233108280239,0.0321664719394627
"YDL165W",506.418398241754,0.029351142264828,0.123495587849601,0.237669561932636,0.81213739332307,0.892182589643401
"YDL140C",1947.25278129643,-0.0944994658732673,0.103331466291004,-0.914527483885072,0.360439743091851,0.535530515885436
"YDR120C",891.666745782381,-0.398383190887631,0.129967380023828,-3.06525522646215,0.00217484316816482,0.00966104877901869
